Ref,Val,Package,PosX,PosY,Rot,Side
"R56","39k2","R0603",-22.150000,33.582499,90.000000,bottom
"R56","39k2","R0603",-107.150000,33.582499,90.000000,bottom
"R56","39k2","R0603",-192.150000,33.582499,90.000000,bottom
"R58","4k7","R0603",-54.300000,110.702000,0.000000,bottom
"R58","4k7","R0603",-139.300000,110.702000,0.000000,bottom
"R58","4k7","R0603",-224.300000,110.702000,0.000000,bottom
"R61","10k","R0603",-236.500000,100.202000,0.000000,bottom
"R61","10k","R0603",-66.500000,100.202000,0.000000,bottom
"R61","10k","R0603",-151.500000,100.202000,0.000000,bottom
"R62","10k","R0603",-147.400000,95.502000,0.000000,bottom
"R62","10k","R0603",-232.400000,95.502000,0.000000,bottom
"R62","10k","R0603",-62.400000,95.502000,0.000000,bottom
"R63","10k","R0603",-62.400000,96.802000,0.000000,bottom
"R63","10k","R0603",-147.400000,96.802000,0.000000,bottom
"R63","10k","R0603",-232.400000,96.802000,0.000000,bottom
"R64","10k","R0603",-136.200000,108.202000,90.000000,bottom
"R64","10k","R0603",-221.200000,108.202000,90.000000,bottom
"R64","10k","R0603",-51.200000,108.202000,90.000000,bottom
"R65","10k","R0603",-47.150000,14.402000,0.000000,bottom
"R65","10k","R0603",-217.150000,14.402000,0.000000,bottom
"R65","10k","R0603",-132.150000,14.402000,0.000000,bottom
"R66","10K","R0603_Array_Concave_4",-56.800000,92.802000,180.000000,bottom
"R66","10K","R0603_Array_Concave_4",-141.800000,92.802000,180.000000,bottom
"R66","10K","R0603_Array_Concave_4",-226.800000,92.802000,180.000000,bottom
"R67","10k","R0603",-11.000000,91.902000,-90.000000,bottom
"R67","10k","R0603",-96.000000,91.902000,-90.000000,bottom
"R67","10k","R0603",-181.000000,91.902000,-90.000000,bottom
"R68","10k","R0603",-16.700000,100.502000,-90.000000,bottom
"R68","10k","R0603",-186.700000,100.502000,-90.000000,bottom
"R68","10k","R0603",-101.700000,100.502000,-90.000000,bottom
"R69","10k","R0603",-100.200000,91.402000,-90.000000,bottom
"R69","10k","R0603",-185.200000,91.402000,-90.000000,bottom
"R69","10k","R0603",-15.200000,91.402000,-90.000000,bottom
"R70","10k","R0603",-53.700000,90.202000,-90.000000,bottom
"R70","10k","R0603",-223.700000,90.202000,-90.000000,bottom
"R70","10k","R0603",-138.700000,90.202000,-90.000000,bottom
"R72","4k7","R0603",-215.300000,81.002000,-90.000000,bottom
"R72","4k7","R0603",-130.300000,81.002000,-90.000000,bottom
"R72","4k7","R0603",-45.300000,81.002000,-90.000000,bottom
"R73","4k7","R0603",-213.500000,82.102000,90.000000,bottom
"R73","4k7","R0603",-128.500000,82.102000,90.000000,bottom
"R73","4k7","R0603",-43.500000,82.102000,90.000000,bottom
"R75","4k7","R0603",-56.100000,96.602000,0.000000,bottom
"R75","4k7","R0603",-141.100000,96.602000,0.000000,bottom
"R75","4k7","R0603",-226.100000,96.602000,0.000000,bottom
"R76","4k7","R0603",-226.100000,99.202000,0.000000,bottom
"R76","4k7","R0603",-141.100000,99.202000,0.000000,bottom
"R76","4k7","R0603",-56.100000,99.202000,0.000000,bottom
"R77","4k7","R0603",-141.100000,95.302000,0.000000,bottom
"R77","4k7","R0603",-226.100000,95.302000,0.000000,bottom
"R77","4k7","R0603",-56.100000,95.302000,0.000000,bottom
"U7","SP3400-02UTG","UDFN-6L",-61.200000,66.052000,0.000000,bottom
"U7","SP3400-02UTG","UDFN-6L",-231.200000,66.052000,0.000000,bottom
"U7","SP3400-02UTG","UDFN-6L",-146.200000,66.052000,0.000000,bottom
"U18","IS66WVS4M8BLL","SOIC-8_3.9x4.9mm_P1.27mm",-40.900000,76.702000,90.000000,bottom
"U18","IS66WVS4M8BLL","SOIC-8_3.9x4.9mm_P1.27mm",-210.900000,76.702000,90.000000,bottom
"U18","IS66WVS4M8BLL","SOIC-8_3.9x4.9mm_P1.27mm",-125.900000,76.702000,90.000000,bottom
"U19","INA2180A1","WSON_8_2x2mm_1EP",-230.600000,104.802000,180.000000,bottom
"U19","INA2180A1","WSON_8_2x2mm_1EP",-145.600000,104.802000,180.000000,bottom
"U19","INA2180A1","WSON_8_2x2mm_1EP",-60.600000,104.802000,180.000000,bottom
"U22","MAX1118","SOT-23-8",-230.600000,111.002000,90.000000,bottom
"U22","MAX1118","SOT-23-8",-145.600000,111.002000,90.000000,bottom
"U22","MAX1118","SOT-23-8",-60.600000,111.002000,90.000000,bottom
"X2","13MHz","SMD2520",-131.300000,70.202000,-90.000000,bottom
"X2","13MHz","SMD2520",-46.300000,70.202000,-90.000000,bottom
"X2","13MHz","SMD2520",-216.300000,70.202000,-90.000000,bottom
