Ref,Val,Package,PosX,PosY,Rot,Side
"D17","V_{BR} = 3v6","D_SOD-882",-238.850000,101.702000,180.000000,top
"D17","V_{BR} = 3v6","D_SOD-882",-153.850000,101.702000,180.000000,top
"F1","7A","Fuse_1206_3216Metric",-230.600000,26.152000,90.000000,top
"F1","7A","Fuse_1206_3216Metric",-145.600000,26.152000,90.000000,top
"F1","7A","Fuse_1206_3216Metric",-60.600000,26.152000,90.000000,top
"F2","7A","Fuse_1206_3216Metric",-235.100000,56.752000,-90.000000,top
"F2","7A","Fuse_1206_3216Metric",-65.100000,56.752000,-90.000000,top
"F2","7A","Fuse_1206_3216Metric",-150.100000,56.752000,-90.000000,top
"FB2","600 @ 100MHz","R0805",-126.900001,50.551999,180.000000,top
"FB2","600 @ 100MHz","R0805",-41.900001,50.551999,180.000000,top
"FB2","600 @ 100MHz","R0805",-211.900001,50.551999,180.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",-157.800000,97.802000,90.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",-242.800000,97.802000,90.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",-72.800000,97.802000,90.000000,top
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",-4.000000,16.202000,0.000000,top
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",-174.000000,16.202000,0.000000,top
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",-89.000000,16.202000,0.000000,top
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",-243.000000,16.002000,-90.000000,top
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",-158.000000,16.002000,-90.000000,top
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",-73.000000,16.002000,-90.000000,top
"J3","USB_C_Receptacle","USB-3.1-Type-C_In-PCB",-154.500000,65.252001,-90.000000,top
"J3","USB_C_Receptacle","USB-3.1-Type-C_In-PCB",-69.500000,65.252001,-90.000000,top
"J3","USB_C_Receptacle","USB-3.1-Type-C_In-PCB",-239.500000,65.252001,-90.000000,top
"J5","Jack-DC","BarrelJack_GCT_DCJ200-10-A_Horizontal",-233.900000,23.002000,-90.000000,top
"J5","Jack-DC","BarrelJack_GCT_DCJ200-10-A_Horizontal",-148.900000,23.002000,-90.000000,top
"J5","Jack-DC","BarrelJack_GCT_DCJ200-10-A_Horizontal",-63.900000,23.002000,-90.000000,top
"J7","SCSI PHY Mezz","101445x-10x80xLF",-207.500000,118.002000,0.000000,top
"J7","SCSI PHY Mezz","101445x-10x80xLF",-122.500000,118.002000,0.000000,top
"J7","SCSI PHY Mezz","101445x-10x80xLF",-37.500000,118.002000,0.000000,top
"KiKit_FID_T_1","Fiducial","Fiducial",-240.000000,126.503500,0.000000,top
"KiKit_FID_T_2","Fiducial","Fiducial",-5.000000,126.503500,0.000000,top
"KiKit_FID_T_3","Fiducial","Fiducial",-240.000000,2.500000,0.000000,top
"L1","1u5","Bourns-SRF1260",-129.050000,29.352001,-90.000000,top
"L1","1u5","Bourns-SRF1260",-214.050000,29.352001,-90.000000,top
"L1","1u5","Bourns-SRF1260",-44.050000,29.352001,-90.000000,top
"L2","2u2","L0603",-206.900000,50.602000,180.000000,top
"L2","2u2","L0603",-36.900000,50.602000,180.000000,top
"L2","2u2","L0603",-121.900000,50.602000,180.000000,top
"L3","1u","L_Vishay_IHLP-3232",-194.800000,42.002000,90.000000,top
"L3","1u","L_Vishay_IHLP-3232",-109.800000,42.002000,90.000000,top
"L3","1u","L_Vishay_IHLP-3232",-24.800000,42.002000,90.000000,top
"Q1","NTMFS5C442NT1G","ONSemi_SO-8FL_488AA",-212.050000,19.352000,180.000000,top
"Q1","NTMFS5C442NT1G","ONSemi_SO-8FL_488AA",-127.050000,19.352000,180.000000,top
"Q1","NTMFS5C442NT1G","ONSemi_SO-8FL_488AA",-42.050000,19.352000,180.000000,top
"Q7","PMDPB58UPE,115","SOT1118-3",-145.600000,100.902000,180.000000,top
"Q7","PMDPB58UPE,115","SOT1118-3",-60.600000,100.902000,180.000000,top
"Q7","PMDPB58UPE,115","SOT1118-3",-230.600000,100.902000,180.000000,top
"Q10","PFET","PowerPAK_SO-8L_Dual",-228.165000,34.537000,180.000000,top
"Q10","PFET","PowerPAK_SO-8L_Dual",-58.165000,34.537000,180.000000,top
"Q10","PFET","PowerPAK_SO-8L_Dual",-143.165000,34.537000,180.000000,top
"R2","80k6","R0402",-220.200000,40.001999,90.000000,top
"R2","80k6","R0402",-135.200000,40.001999,90.000000,top
"R2","80k6","R0402",-50.200000,40.001999,90.000000,top
"R4","10k","R0603",-49.600000,44.102000,-90.000000,top
"R4","10k","R0603",-134.600000,44.102000,-90.000000,top
"R4","10k","R0603",-219.600000,44.102000,-90.000000,top
"R5","4k7","R0603",-134.400000,78.152000,-90.000000,top
"R5","4k7","R0603",-219.400000,78.152000,-90.000000,top
"R5","4k7","R0603",-49.400000,78.152000,-90.000000,top
"R7","2k2","R0603",-242.000000,74.802001,0.000000,top
"R7","2k2","R0603",-72.000000,74.802001,0.000000,top
"R7","2k2","R0603",-157.000000,74.802001,0.000000,top
"R8","1M","R0603",-237.000000,56.752000,90.000000,top
"R8","1M","R0603",-67.000000,56.752000,90.000000,top
"R8","1M","R0603",-152.000000,56.752000,90.000000,top
"R9","10k","R0603",-49.900000,66.227000,-90.000000,top
"R9","10k","R0603",-134.900000,66.227000,-90.000000,top
"R9","10k","R0603",-219.900000,66.227000,-90.000000,top
"R11","100","R0402",-30.600000,74.502000,135.000000,top
"R11","100","R0402",-200.600000,74.502000,135.000000,top
"R11","100","R0402",-115.600000,74.502000,135.000000,top
"R12","10k","R0603",-135.700000,79.802000,-90.000000,top
"R12","10k","R0603",-50.700000,79.802000,-90.000000,top
"R12","10k","R0603",-220.700000,79.802000,-90.000000,top
"R13","100","R0402",-52.400000,84.602000,90.000000,top
"R13","100","R0402",-222.400000,84.602000,90.000000,top
"R13","100","R0402",-137.400000,84.602000,90.000000,top
"R15","5k36","R0603",-43.200000,37.552000,180.000000,top
"R15","5k36","R0603",-213.200000,37.552000,180.000000,top
"R15","5k36","R0603",-128.200000,37.552000,180.000000,top
"R16","10m","R0603",-217.550000,21.602000,0.000000,top
"R16","10m","R0603",-132.550000,21.602000,0.000000,top
"R16","10m","R0603",-47.550000,21.602000,0.000000,top
"R18","40k","R0603",-45.950000,42.902000,0.000000,top
"R18","40k","R0603",-130.950000,42.902000,0.000000,top
"R18","40k","R0603",-215.950000,42.902000,0.000000,top
"R19","100k","R0603",-151.600000,82.402000,90.000000,top
"R19","100k","R0603",-66.600000,82.402000,90.000000,top
"R19","100k","R0603",-236.600000,82.402000,90.000000,top
"R20","100k","R0603",-236.600000,85.502000,-90.000000,top
"R20","100k","R0603",-66.600000,85.502000,-90.000000,top
"R20","100k","R0603",-151.600000,85.502000,-90.000000,top
"R21","1k","R0603",-72.000000,76.302000,0.000000,top
"R21","1k","R0603",-242.000000,76.302000,0.000000,top
"R21","1k","R0603",-157.000000,76.302000,0.000000,top
"R22","4k7","R0603",-141.000000,59.552000,-90.000000,top
"R22","4k7","R0603",-56.000000,59.552000,-90.000000,top
"R22","4k7","R0603",-226.000000,59.552000,-90.000000,top
"R23","1k","R0603",-157.000000,44.202000,0.000000,top
