"Reference","Value","Tolerance","MFR","MPN","Footprint","Datasheet","Qty","SUPPLIER_OC","SUPPLIER_URL"
"U12","GD25Q64EWIGR","","GigaDevice","GD25Q64EWIGR","rhais_package-qfn:UDFN-8-1EP_6x5mm_P1.27mm_EP3.4x4mm","https://www.gigadevice.com.cn/Public/Uploads/uploadfile/files/20220714/DS-00484-GD25Q64E-Rev1.4.pdf","1","1970-GD25Q64EWIGRDKR-ND","https://www.digikey.com/short/j44d557m"
"U13","LM51551DSSR","","Texas Instruments","LM51551DSSR","lethalbit:WSON-12-1EP_2x3mm_P0.5mm_EP1x2.65mm","https://www.ti.com/lit/ds/symlink/lm5155.pdf","1","296-LM51551DSSRDKR-ND","https://www.digikey.com/short/jfv3pf8j"
"U16,U20","TPS7A1112PDRVT","","Texas Instruments","TPS7A1112PDRVT","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tps7a11.pdf","2","296-50835-6-ND","https://www.digikey.com/short/mjv7r0h3"
"U17","TPS7A1125PDRVT","","Texas Instruments","TPS7A1125PDRVT","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tps7a11.pdf","1","296-50838-6-ND","https://www.digikey.com/short/05z0qvc3"
"U18","IS66WVS4M8BLL","","Integrated Silicon Solution Inc","IS66WVS4M8BLL-104NLI","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.issi.com/WW/pdf/66-67WVS2M8ALL-BLL.pdf","1","706-IS66WVS4M8BLL-104NLI-ND","https://www.digikey.com/short/29w7cnhb"
"U19","INA2180A1","","Texas Instruments","INA2180A1IDSGR","lethalbit:WSON_8_2x2mm_1EP","https://www.ti.com/lit/ds/symlink/ina2180.pdf","1","296-INA2180A1IDSGRDKR-ND","https://www.digikey.com/short/8077pm24"
"U21","AP3428/A","","Diodes Incorporated","AP3428DNTR-G1","Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm","https://www.diodes.com/assets/Datasheets/AP3428_A.pdf","1","AP3428DNTR-G1","https://www.digikey.com/short/p988w10m"
"U22","MAX1118","","Analog Devices Inc./Maxim Integrated","MAX1118EKA+T","lethalbit-so:SOT-23-8","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX1117-MAX1119.pdf","1","MAX1118EKA+TDKR-ND","https://www.digikey.com/short/54vrz9n8"
"U23","TLV62084ADSGR","","Texas Instruments","TLV62084ADSGR","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","http://www.ti.com/lit/ds/symlink/tlv62080.pdf","1","296-TLV62084ADSGRDKR-ND","https://www.digikey.com/short/b10p249p"
"U24","74AHC1G02","","Nexperia USA Inc.","74HC1G02GW,125","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://assets.nexperia.com/documents/data-sheet/74HC_HCT1G02.pdf","1","1727-3258-6-ND","https://www.digikey.com/short/pb7573pr"
"X1","100MHz","","Abracon LLC","AK3ADDF1-100.000T3","lethalbit:AK3A-xxxMHz","https://abracon.com/datasheets/AK3A.pdf","1","535-AK3ADDF1-100.000T3DKR-ND","https://www.digikey.com/short/5r299tzp"
"X2","13MHz","","TXC CORPORATION","8W-13.000MBE-T","rhais_osc:SMD2520","https://www.txccrystal.com/images/pdf/8w-tight.pdf","1","887-2539-6-ND","https://www.digikey.com/short/d4f409rt"
"X3","200MHz","","Abracon LLC","AK2DAF1-200.0000","lethalbit:AK2A-xxxMHz","https://abracon.com/datasheets/AK2.pdf","1","535-AK2DAF1-200.0000-ND","https://www.digikey.com/short/87hbtqtr"
"X4","48MHz","","Abracon","ASE-48.000MHZ-LC-T","rhais_osc:SMD3225","https://abracon.com/Oscillators/ASEseries.pdf","1","535-ASE-48.000MHZ-L-C-TDKR-ND","https://www.digikey.com/short/pmhjnqwd"
